origin_id,origin_name,mode,num_trips,num_routes,min_headway_secs,max_headway_secs,mean_headway_secs,median_headway_secs,mode_headway_secs,min_travel_time_secs,max_travel_time_secs,mean_travel_time_secs,median_travel_time_secs,mode_travel_time_secs
233610,Aberdeen Station,sydney_trains,1,1,,,,,,14538,14538,14538,14538,14538
228920,Adamstown Station,sydney_trains,15,1,1356,7200,3604,3600,3600,9486,10500,10038,9990,9900
252710,Albion Park Station,sydney_trains,15,1,1200,10650,3780,3600,3600,6246,6978,6535,6486,6690
26401,Albury Station,sydney_trains,1,1,,,,,,28416,28416,28416,28416,28416
222020,Allawah Station,sydney_trains,78,2,600,1206,740,600,600,1266,1560,1469,1506,1512
220520,Arncliffe Station,sydney_trains,62,2,600,1800,914,600,600,894,954,915,906,906
206410,Artarmon Station,sydney_trains,165,3,180,900,347,360,360,1392,1470,1410,1410,1410
213110,Ashfield Station,sydney_trains,167,3,180,666,345,306,306,714,1050,906,984,780
207730,Asquith Station,sydney_trains,47,2,270,1800,1236,960,1800,2430,3480,3261,3240,3240
214410,Auburn Station,sydney_trains,102,3,174,1716,559,720,720,1278,2178,1915,1866,1776
251540,Austinmer Station,sydney_trains,3,2,1644,29730,15687,15687,1644,4920,5184,5078,5130,4920
228310,Awaba Station,sydney_trains,16,1,1260,7200,3570,3600,3600,7890,9000,8489,8490,8400
221610,Banksia Station,sydney_trains,62,2,600,1800,914,600,600,1020,1080,1040,1032,1032
220710,Bardwell Park Station,sydney_trains,63,1,840,1080,905,900,900,1242,1248,1242,1242,1242
279538,Bathurst Station,sydney_trains,2,2,34199,34199,34199,34199,34199,13319,13320,13319,13319,13319
211910,Beecroft Station,sydney_trains,64,1,780,1110,903,900,900,2124,2694,2478,2514,2514
251810,Bellambi Station,sydney_trains,1,1,,,,,,5538,5538,5538,5538,5538
36721,Benalla Station,sydney_trains,1,1,,,,,,32736,32736,32736,32736,32736
214120,Berala Station,sydney_trains,36,1,900,2160,1635,1800,1800,1800,2202,1906,1830,1830
208110,Berowra Station,sydney_trains,66,3,145,1800,866,755,900,2844,4079,3662,3839,3839
220910,Beverly Hills Station,sydney_trains,64,1,840,1080,905,900,900,1680,1710,1707,1710,1710
220720,Bexley North Station,sydney_trains,64,1,840,1080,905,900,900,1380,1380,1380,1380,1380
278510,Blackheath Station,sydney_trains,16,1,1362,7200,3600,3600,3600,7674,8610,8073,8049,8028
214810,Blacktown Station,sydney_trains,146,4,0,1044,394,240,60,2064,2820,2388,2340,2340
277410,Blaxland Station,sydney_trains,25,1,414,3738,2250,1800,1800,4200,4650,4311,4278,4242
27991,Blayney Station,sydney_trains,1,1,,,,,,16140,16140,16140,16140,16140
253320,Bombo Station,sydney_trains,16,1,1200,10860,3768,3600,3600,7422,8100,7651,7578,7488
202210,Bondi Junction Station,sydney_trains,133,3,180,1200,432,420,600,779,780,779,779,779
228410,Booragul Station,sydney_trains,16,1,1320,7200,3572,3600,3600,8490,9540,9040,9030,8940
257610,Bowral Station,sydney_trains,4,2,2610,18024,12870,17976,2610,5976,6240,6109,6111,5976
229210,Broadmeadow Station,sydney_trains,30,3,228,3660,1761,1632,612,8100,10680,9570,9615,8862
V20030,Broadmeadows Station,sydney_trains,1,1,,,,,,39156,39156,39156,39156,39156
278410,Bullaburra Station,sydney_trains,20,1,1464,3720,2936,3600,3600,6354,6828,6425,6384,6354
251610,Bulli Station,sydney_trains,1,1,,,,,,5250,5250,5250,5250,5250
257810,Bundanoon Station,sydney_trains,3,1,18000,18000,18000,18000,18000,7260,7380,7334,7362,7260
26211,Bungendore Station,sydney_trains,3,1,17880,18120,18000,18000,17880,12642,12660,12654,12660,12660
213410,Burwood Station,sydney_trains,231,4,6,738,249,192,192,672,1272,994,954,954
216620,Cabramatta Station,sydney_trains,97,2,150,1482,587,750,750,3024,3504,3136,3084,3084
256020,Campbelltown Station,sydney_trains,74,3,241,1164,786,900,900,2544,4164,3561,3504,3504
26041,Canberra Station,sydney_trains,3,1,17881,18120,18000,18000,17881,14922,14939,14933,14939,14939
216610,Canley Vale Station,sydney_trains,63,1,438,1800,908,900,900,2928,3372,3040,2958,2958
228520,Cardiff Station,sydney_trains,27,1,750,3660,1971,2421,810,8460,10080,9202,9450,8460
222910,Caringbah Station,sydney_trains,63,1,528,1800,902,900,900,2388,3252,2754,2706,3012
221810,Carlton Station,sydney_trains,78,2,600,1200,740,600,600,1152,1440,1352,1392,1392
216330,Carramar Station,sydney_trains,35,1,900,2220,1655,1800,1800,2676,3096,2770,2706,2706
24701,Casino Station,sydney_trains,1,1,,,,,,42000,42000,42000,42000,42000
217030,Casula Station,sydney_trains,62,1,420,1800,916,900,900,3624,4104,3740,3654,3654
206710,Chatswood Station,sydney_trains,165,3,180,900,347,360,360,1536,1620,1560,1560,1560
211920,Cheltenham Station,sydney_trains,64,1,780,1110,903,900,900,1980,2550,2334,2370,2370
216220,Chester Hill Station,sydney_trains,35,1,900,2220,1656,1800,1800,2256,2676,2357,2286,2286
200020,Circular Quay Station,sydney_trains,395,8,0,450,144,120,60,450,540,480,510,510
275630,Clarendon Station,sydney_trains,27,1,1800,1800,1800,1800,1800,4350,4710,4480,4470,4470
214230,Clyde Station,sydney_trains,89,3,180,3426,650,720,720,1440,2370,2100,2040,1956
250850,Coalcliff Station,sydney_trains,3,2,1644,29730,15687,15687,1644,4170,4434,4328,4380,4170
228430,Cockle Creek Station,sydney_trains,15,1,1326,7200,3604,3600,3600,8790,9834,9370,9324,9234
24501,Coffs Harbour Station,sydney_trains,1,1,,,,,,32520,32520,32520,32520,32520
251530,Coledale Station,sydney_trains,3,2,1638,29730,15684,15684,1638,4764,5022,4920,4974,4764
222610,Como Station,sydney_trains,34,1,1200,3180,1732,1800,1800,1734,2292,1923,1926,2052
213810,Concord West Station,sydney_trains,64,1,900,960,900,900,900,1200,1440,1258,1260,1260
250030,Coniston Station,sydney_trains,16,2,1200,10674,3659,3600,3600,5190,6324,5503,5448,5292
25901,Cootamundra Station,sydney_trains,1,1,,,,,,18396,18396,18396,18396,18396
251820,Corrimal Station,sydney_trains,1,1,,,,,,5664,5664,5664,5664,5664
208120,Cowan Station,sydney_trains,18,2,1074,3600,3190,3600,3600,3108,3762,3362,3288,3228
250520,Cringila Station,sydney_trains,1,1,,,,,,6624,6624,6624,6624,6624
223020,Cronulla Station,sydney_trains,63,1,540,1800,902,900,900,2699,3551,3056,3005,3311
213210,Croydon Station,sydney_trains,72,3,210,1086,800,900,900,1110,1140,1134,1140,1140
26601,Culcairn Station,sydney_trains,1,1,,,,,,26796,26796,26796,26796,26796
253020,Dapto Station,sydney_trains,15,1,1200,10656,3780,3600,3606,5820,6546,6104,6054,5820
211410,Denistone Station,sydney_trains,64,1,894,954,900,900,900,1740,1974,1792,1794,1794
202020,Domestic Airport Station,sydney_trains,122,1,300,1038,471,480,540,624,630,624,624,624
276710,Doonside Station,sydney_trains,71,1,420,1020,810,900,900,2430,3060,2601,2580,2580
226420,Dora Creek Station,sydney_trains,16,1,1260,7200,3570,3600,3600,7350,8460,7951,7950,7860
